PSLV-C 52 sens11=Cylinder(P+) HSCTYHFPP
ITI ITER IMA IKHS NCO IAXI IPA ICAR ITHN KEL ITAB ISHK INV,IGM,IT,CON,ITR,IAI,IFR,IRA
1 	0     1    0   6   1    1    0    0   1   1    2    2   3   0  1   1   0   0 0
RADIUS, ANGLE, LENGTH OF EACH COMPONENT
0.7       20.0      2.589     0.0       0.0       4.5000    0.0       -15.0 
0.7500    0.0       0.0       11.5176   0.0       3.644     1.5702    0.0 
0.0       23.0
RETR   RETS ALAMDA ALFA  DUM   QINS  RC   GIN
1.0e+116  0.0  0.0   0.0   0.00  0.00  0.7  1.4
NT
12501
    TIME          ALT                RV                Mach       dynp             alpha     qalpha         
              0.000      23.8      0.00     0.000       0.0      0.00      0.00
	      4.600      71.9     25.37     0.073     373.7      8.12     52.97
	      4.620      72.4     25.51     0.073     377.9      8.08     53.31
	      4.640      72.9     25.65     0.074     382.2      8.04     53.66
	      4.660      73.4     25.80     0.074     386.4      8.01     54.00
	      4.680      74.0     25.94     0.075     390.7      7.97     54.35
	      4.700      74.5     26.08     0.075     395.0      7.93     54.70
	      4.720      75.0     26.23     0.076     399.4      7.90     55.05
	      4.740      75.5     26.37     0.076     403.8      7.86     55.40
	      4.760      76.0     26.52     0.076     408.2      7.83     55.75
	      4.780      76.6     26.66     0.077     412.6      7.79     56.11
	      4.800      77.1     26.81     0.077     417.1      7.76     56.46
	      4.820      77.6     26.95     0.078     421.6      7.72     56.82
	      4.840      78.2     27.10     0.078     426.2      7.69     57.18
	      4.860      78.7     27.24     0.078     430.7      7.65     57.54
	      4.880      79.3     27.39     0.079     435.3      7.62     57.90
	      4.900      79.8     27.53     0.079     440.0      7.59     58.26
	      4.920      80.3     27.68     0.080     444.6      7.55     58.62
	      4.940      80.9     27.83     0.080     449.3      7.52     58.98
	      4.960      81.5     27.97     0.081     454.0      7.49     59.35
	      4.980      82.0     28.12     0.081     458.8      7.46     59.72
	      5.000      82.6     28.27     0.081     463.6      7.43     60.09
	      5.020      83.1     28.41     0.082     468.4      7.40     60.46
	      5.040      83.7     28.56     0.082     473.3      7.36     60.83
	      5.060      84.3     28.71     0.083     478.1      7.33     61.20
	      5.080      84.8     28.86     0.083     483.0      7.30     61.57
	      5.100      85.4     29.01     0.084     488.0      7.27     61.95
	      5.120      86.0     29.15     0.084     493.0      7.24     62.33
	      5.140      86.6     29.30     0.084     498.0      7.21     62.70
	      5.160      87.2     29.45     0.085     503.0      7.19     63.08
	      5.180      87.7     29.60     0.085     508.1      7.16     63.47
	      5.200      88.3     29.75     0.086     513.2      7.13     63.85
	      5.220      88.9     29.90     0.086     518.4      7.10     64.23
	      5.240      89.5     30.05     0.087     523.5      7.07     64.62
	      5.260      90.1     30.20     0.087     528.8      7.04     65.01
	      5.280      90.7     30.35     0.087     534.0      7.02     65.40
	      5.300      91.3     30.50     0.088     539.3      6.99     65.79
	      5.320      91.9     30.65     0.088     544.6      6.96     66.18
	      5.340      92.5     30.80     0.089     549.9      6.94     66.57
	      5.360      93.2     30.95     0.089     555.3      6.91     66.97
	      5.380      93.8     31.10     0.090     560.7      6.88     67.36
	      5.400      94.4     31.25     0.090     566.1      6.86     67.76
	      5.420      95.0     31.41     0.090     571.6      6.83     68.16
	      5.440      95.6     31.56     0.091     577.1      6.81     68.57
	      5.460      96.3     31.71     0.091     582.7      6.78     68.97
	      5.480      96.9     31.86     0.092     588.3      6.76     69.37
	      5.500      97.5     32.02     0.092     593.9      6.73     69.78
	      5.520      98.2     32.17     0.093     599.5      6.71     70.19
	      5.540      98.8     32.32     0.093     605.2      6.68     70.60
	      5.560      99.5     32.47     0.094     610.9      6.66     71.01
	      5.580     100.1     32.63     0.094     616.7      6.64     71.43
	      5.600     100.8     32.78     0.094     622.4      6.61     71.84
	      5.620     101.4     32.94     0.095     628.3      6.59     72.26
	      5.640     102.1     33.09     0.095     634.1      6.57     72.68
	      5.660     102.7     33.24     0.096     640.0      6.54     73.10
	      5.680     103.4     33.40     0.096     645.9      6.52     73.52
	      5.700     104.1     33.55     0.097     651.9      6.50     73.95
	      5.720     104.7     33.71     0.097     657.9      6.48     74.37
	      5.740     105.4     33.86     0.098     663.9      6.46     74.80
	      5.760     106.1     34.02     0.098     670.0      6.43     75.23
	      5.780     106.8     34.17     0.098     676.1      6.41     75.67
	      5.800     107.4     34.33     0.099     682.2      6.39     76.10
	      5.820     108.1     34.49     0.099     688.4      6.37     76.54
	      5.840     108.8     34.64     0.100     694.6      6.35     76.97
	      5.860     109.5     34.80     0.100     700.9      6.33     77.41
	      5.880     110.2     34.96     0.101     707.2      6.31     77.85
	      5.900     110.9     35.11     0.101     713.5      6.29     78.30
	      5.920     111.6     35.27     0.102     719.8      6.27     78.74
	      5.940     112.3     35.43     0.102     726.2      6.25     79.19
	      5.960     113.0     35.58     0.102     732.7      6.23     79.64
	      5.980     113.7     35.74     0.103     739.1      6.21     80.09
	      6.000     114.4     35.90     0.103     745.6      6.19     80.54
	      6.020     115.1     36.06     0.104     752.2      6.17     81.00
	      6.040     115.9     36.22     0.104     758.7      6.15     81.46
	      6.060     116.6     36.38     0.105     765.4      6.13     81.91
	      6.080     117.3     36.54     0.105     772.0      6.11     82.37
	      6.100     118.0     36.69     0.106     778.7      6.09     82.83
	      6.120     118.8     36.85     0.106     785.4      6.08     83.30
	      6.140     119.5     37.01     0.107     792.2      6.06     83.76
	      6.160     120.2     37.17     0.107     799.0      6.04     84.23
	      6.180     121.0     37.33     0.108     805.8      6.02     84.70
	      6.200     121.7     37.49     0.108     812.7      6.00     85.17
	      6.220     122.5     37.65     0.108     819.6      5.99     85.64
	      6.240     123.2     37.82     0.109     826.6      5.97     86.11
	      6.260     124.0     37.98     0.109     833.6      5.95     86.59
	      6.280     124.7     38.14     0.110     840.6      5.93     87.06
	      6.300     125.5     38.30     0.110     847.7      5.92     87.54
	      6.320     126.3     38.46     0.111     854.8      5.90     88.02
	      6.340     127.0     38.62     0.111     862.0      5.88     88.50
	      6.360     127.8     38.78     0.112     869.2      5.87     88.99
	      6.380     128.6     38.95     0.112     876.4      5.85     89.47
	      6.400     129.4     39.11     0.113     883.7      5.83     89.96
	      6.420     130.1     39.27     0.113     891.0      5.82     90.45
	      6.440     130.9     39.44     0.114     898.3      5.80     90.94
	      6.460     131.7     39.60     0.114     905.7      5.78     91.43
	      6.480     132.5     39.76     0.115     913.2      5.77     91.92
	      6.500     133.3     39.93     0.115     920.6      5.75     92.41
	      6.520     134.1     40.09     0.115     928.2      5.74     92.91
	      6.540     134.9     40.25     0.116     935.7      5.72     93.41
	      6.560     135.7     40.42     0.116     943.3      5.70     93.91
	      6.580     136.5     40.58     0.117     950.9      5.69     94.41
	      6.600     137.3     40.75     0.117     958.6      5.67     94.91
	      6.620     138.1     40.91     0.118     966.3      5.66     95.41
	      6.640     138.9     41.08     0.118     974.1      5.64     95.92
	      6.660     139.8     41.24     0.119     981.9      5.63     96.42
	      6.680     140.6     41.41     0.119     989.7      5.61     96.93
	      6.700     141.4     41.58     0.120     997.6      5.60     97.44
	      6.720     142.2     41.74     0.120    1005.5      5.58     97.95
	      6.740     143.1     41.91     0.121    1013.5      5.57     98.47
	      6.760     143.9     42.08     0.121    1021.5      5.55     98.98
	      6.780     144.8     42.24     0.122    1029.5      5.54     99.50
	      6.800     145.6     42.41     0.122    1037.6      5.52    100.02
	      6.820     146.4     42.58     0.123    1045.7      5.51    100.54
	      6.840     147.3     42.75     0.123    1053.9      5.49    101.06
	      6.860     148.1     42.91     0.124    1062.1      5.48    101.58
	      6.880     149.0     43.08     0.124    1070.4      5.47    102.11
	      6.900     149.9     43.25     0.125    1078.7      5.45    102.64
	      6.920     150.7     43.42     0.125    1087.0      5.44    103.16
	      6.940     151.6     43.59     0.126    1095.4      5.42    103.70
	      6.960     152.5     43.76     0.126    1103.8      5.41    104.23
	      6.980     153.3     43.93     0.127    1112.3      5.40    104.76
	      7.000     154.2     44.10     0.127    1120.8      5.38    105.30
	      7.020     155.1     44.27     0.128    1129.4      5.37    105.82
	      7.040     156.0     44.44     0.128    1138.0      5.35    106.33
	      7.060     156.9     44.61     0.129    1146.6      5.34    106.83
	      7.080     157.8     44.78     0.129    1155.3      5.32    107.32
	      7.100     158.7     44.95     0.129    1164.0      5.31    107.79
	      7.120     159.6     45.12     0.130    1172.8      5.29    108.24
	      7.140     160.5     45.29     0.130    1181.6      5.27    108.68
	      7.160     161.4     45.46     0.131    1190.4      5.25    109.09
	      7.180     162.3     45.63     0.131    1199.3      5.23    109.49
	      7.200     163.2     45.80     0.132    1208.2      5.21    109.88
	      7.220     164.1     45.97     0.132    1217.2      5.19    110.24
	      7.240     165.0     46.15     0.133    1226.2      5.17    110.59
	      7.260     165.9     46.32     0.133    1235.3      5.15    110.93
	      7.280     166.9     46.49     0.134    1244.4      5.12    111.25
	      7.300     167.8     46.66     0.134    1253.6      5.10    111.55
	      7.320     168.7     46.84     0.135    1262.8      5.07    111.84
	      7.340     169.7     47.01     0.135    1272.0      5.05    112.11
	      7.360     170.6     47.18     0.136    1281.3      5.02    112.36
	      7.380     171.5     47.36     0.136    1290.6      5.00    112.61
	      7.400     172.5     47.53     0.137    1300.0      4.97    112.83
	      7.420     173.4     47.70     0.137    1309.5      4.95    113.04
	      7.440     174.4     47.88     0.138    1318.9      4.92    113.24
	      7.460     175.3     48.05     0.138    1328.5      4.89    113.42
	      7.480     176.3     48.23     0.139    1338.0      4.86    113.58
	      7.500     177.3     48.40     0.139    1347.6      4.84    113.73
	      7.520     178.2     48.58     0.140    1357.3      4.81    113.87
	      7.540     179.2     48.75     0.140    1367.0      4.78    113.99
	      7.560     180.2     48.93     0.141    1376.8      4.75    114.09
